x,y,z
0.1,2,2748779069440
0.2,4,12839184645488640
0.3,4,25678369290977280
0.4,5,53496602689536000
0.5,5,158508452413440000
0.6,6,3261490790400000000
0.7,7,43834436222976000000
0.7999999999999999,7,60881161420800000000
0.8999999999999999,7,105202646935142400000
0.9999999999999999,7,164379135836160000000
1.0999999999999999,7,345196185255936000000
1.2,8,4889673564157063987200
1.3,9,13152803129095775846400
1.4,10,62354029649046641049600
1.5,10,87977466876961751040000
1.5999999999999999,12,567100128436231864320000
1.7,12,1229016997923177627648000
1.8,12,1625146443534780334080000
1.9,13,6043724944504799625216000
2.0,13,5192596816225425476812800
2.0999999999999996,13,5192596816225425476812800
2.1999999999999997,14,13101423932049428714618880
2.3,15,33825136577519869231104000
2.4,15,45804872448724822917120000
2.5,16,81848478632023387275264000
2.6,17,115189767992355323904000000
2.6999999999999997,17,186121218815261304422400000
2.8,18,307669769878289095065600000
2.9,20,591531759944567724441600000
3.0,21,1245667297816602199719936000
3.0999999999999996,21,1557084122270752749649920000
3.1999999999999997,21,2576058290521465946112000000
3.3,22,3694258407740413386424320000
3.4,24,9856568404922218398823219200
3.5,24,13812788854003125687681024000
3.5999999999999996,24,17224616571482594558450073600
3.6999999999999997,25,22598765293438225499553792000
3.8,28,60064180004029181460480000000
3.9,29,85054253067010630169395200000
4.0,30,110633864034451325976576000000
